Code,County,Severe stunting in children (%),Severe wasting in children (%),Severe underweight (%),Food poverty rate (%),Poor_Feeding_Score,Borderline_feeding_score,Unacceptable_Feeding_Score,Maize_Production(Ton),Beans_Production(Ton),TLU,Land Area (Km2),Arable Land (Km2),Arable Land (%),Rural_Population,Urban_Population,Total Population,Population_Density/sqKm,Male Literacy,Female Literacy,Overall Literacy,poverty_rate_percentage,GCP_USD,Mean_distance_to_roads,Conflict_cases_per_year,Food_Source_Purchases,Food_Source_Stock,Food_Source_Own_production,Food_source_Gifts,Access_improved Sanitation services,Access to Water,Access to_Unimproved Sanitation Services,Average Rainfall,Evapotransipiration
46,Wajir,8.3,1.8,2.6,10.5,3,10,6,1034,0,2056596,56707,431.2442622,0.76,"604,089","177,174","781,263",14,45.2,25.9,35.8,84.4,371.59,178.52,6,68.9,18.8,10.1,2.3,6.2,83.6,59.6,338.0,0.15
47,West Pokot,14.8,7.8,7.1,26.2,3,22,25,61840,10510,652953,9110,2197.469573,24.12,"589,400","31,841","621,241",68,68.5,54.2,61.5,68.7,467.85,12.45,4,44.4,14.8,34.1,6.7,27.3,97.1,8,791.5,0.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
